pid,x,y,t,r,Ibg,Ipeak
11,3.461135389484495,17.593506670439425,0.02,0.347012712086438,127.898,190.32
11,3.4397145282484987,17.558189497070877,0.04,0.3205677995409816,128.031,197.453
11,3.451336707852569,17.57202292996301,0.06,0.35750306536297044,127.97,185.511
11,3.444126554951216,17.600108990683392,0.08,0.35945860973999433,127.65100000000001,194.46099999999998
11,3.451368147472779,17.59958499701324,0.1,0.3695203361943388,128.0,186.545
11,3.4480250678571807,17.551796774294967,0.12,0.3464541348340512,127.984,190.235
11,3.435438739900022,17.54550885025309,0.14,0.3507666027394389,127.462,187.39
11,3.393990840590646,17.528741052808083,0.16,0.35308894268557234,127.395,190.326
11,3.391087915657979,17.495205457918065,0.18,0.3779482503851353,127.898,181.635
11,3.3939594009704366,17.494471866779854,0.2,0.3443403443686401,127.868,193.82
11,3.3348948344703997,17.431802223829134,0.22,0.34663124469456413,128.079,193.92
11,3.2988650297104414,17.41010888588466,0.24,0.3598767566887793,126.959,185.817
11,3.299829178063529,17.403820961842783,0.26,0.3623751585080852,127.152,184.34099999999998
11,3.248414919147777,17.346705651795727,0.28,0.33803670051665774,127.213,195.799
11,3.2303161777805727,17.302899780970645,0.3,0.3199851185797675,126.775,186.799
11,3.231332725500676,17.30080380629002,0.32,0.3253183261546201,127.124,193.572
11,3.2172687353936764,17.27858647467539,0.34,0.32996195805954665,127.37100000000001,196.889
11,3.191855042391088,17.28089204682407,0.36,0.34932666813384894,126.76100000000001,194.745
11,3.2040955345259428,17.263600255708912,0.38,0.31190932813531613,126.905,194.55700000000002
11,3.162029322685782,17.22042317728802,0.4,0.3451357667599375,126.93700000000001,188.363
11,3.1477242954905105,17.245050879785374,0.42,0.3436266649898869,126.81700000000001,185.22099999999998
11,3.1396128734764885,17.241068527892182,0.44,0.3202586432755892,126.71700000000001,191.989
11,3.120046949832846,17.20197860009851,0.46,0.3294662600475786,126.679,189.84900000000002
11,3.0914264155689,17.163727062177088,0.48,0.32206432546294844,126.73700000000001,188.982
11,3.083398832542103,17.163307867240963,0.5,0.33576571195019966,126.494,188.65200000000002
11,3.1105312247828043,17.195795474790664,0.52,0.3338395112187045,126.542,187.895
11,3.099212961507425,17.192441915301664,0.54,0.36367466281007327,126.42,186.34799999999998
11,3.104180421500508,17.181962041898533,0.56,0.3322287546766435,126.274,188.239
11,3.1524611982687247,17.257207532933002,0.58,0.33386361492753164,126.16799999999999,185.095
11,3.1591787971201306,17.286027184791607,0.6,0.35404994707663934,126.999,179.455
11,3.210708334643318,17.30321417717274,0.62,0.357009463325683,126.331,183.99
11,3.246874377757517,17.327213087265907,0.64,0.33329036585238053,126.678,192.497
11,3.25204095534526,17.3583383112732,0.66,0.3476876159335995,127.28200000000001,191.21
11,3.288751951876421,17.377516479600924,0.68,0.3386330053132958,126.756,188.614
11,3.269186028232779,17.373219731505646,0.7000000000000001,0.3384066400477882,127.23200000000001,180.86
11,3.2955848293352616,17.389777931482588,0.72,0.34613869064461705,127.014,183.146
11,3.3079615598243577,17.398895421343312,0.74,0.33723603818865866,127.228,189.808
11,3.3043984028672932,17.425828695989356,0.76,0.3441391307992999,127.346,193.79
11,3.34976577482944,17.46376583770868,0.78,0.321145240565494,127.29700000000001,192.00799999999998
11,3.344798314836357,17.461879460496117,0.8,0.353211557204389,127.971,181.19799999999998
11,3.35646241393404,17.46523301998512,0.8200000000000001,0.3129279718301003,127.368,194.421
11,3.3388352668699763,17.48420159084478,0.84,0.33246035987885264,127.383,186.481
11,3.360591484054873,17.48724075413169,0.86,0.3440217562171849,127.353,184.028
11,3.344316240659813,17.48105762882384,0.88,0.3559027886943126,127.059,190.62599999999998
11,3.3547122750757166,17.489022332610222,0.9,0.3459930204043135,127.48299999999999,187.66099999999997
11,3.3971243227381813,17.49635824399241,0.92,0.34245815910543803,127.735,193.22
11,3.3980255918508506,17.49845421867304,0.9400000000000001,0.34963582439924124,127.603,188.87
11,3.416365370306327,17.48378239590866,0.96,0.29998847213925656,127.699,204.688
11,3.39976525083577,17.524129908510705,0.98,0.31196801542637365,127.478,187.863
11,3.3648672724033495,17.496672640194507,1.0,0.3599909873088733,127.55,186.192
11,3.3930476519843644,17.51794678320286,1.02,0.35418408945619934,127.345,191.114
11,3.4046069523480154,17.51469802244789,1.04,0.3396338332232947,127.86399999999999,192.205
11,3.421573867387682,17.54215529076409,1.06,0.3412225820312091,127.348,189.013
11,3.3960553756510627,17.498559017407068,1.08,0.3420756437262238,127.421,187.386
11,3.386560610347827,17.498139822470947,1.1,0.3524014629903271,128.014,186.738
11,3.4487900986156093,17.494995860450008,1.12,0.3220307898680584,127.829,196.44799999999998
11,3.4079290722168074,17.515955607256267,1.1400000000000001,0.3418178388405068,127.056,188.278
11,3.4104232820867524,17.50652372119345,1.16,0.352662411838065,127.426,186.42
11,3.417863992202974,17.50432294777879,1.18,0.31666509468565623,127.698,192.845
11,3.407289799939217,17.520881147755734,1.2,0.3550308632271722,127.0,183.084
11,3.4405738778675556,17.515536412320138,1.22,0.32003123002274136,127.042,195.52200000000002
11,3.4145942717011977,17.508829293342135,1.24,0.34002054055187014,127.53399999999999,189.322
11,3.4318022238291364,17.511973255363074,1.26,0.2888777103572589,127.54700000000001,189.502
11,3.3764580123872103,17.48640236425944,1.28,0.3333249494346109,127.37200000000001,191.233
11,3.4359627335701783,17.54729042873162,1.3,0.3282160111505853,128.005,190.14700000000002
11,3.4053091038660255,17.51312604143742,1.32,0.33379654373775164,127.30799999999999,194.66400000000002
11,3.3650978296182186,17.51092526802276,1.34,0.33716372706217707,127.344,183.13
11,3.3736284465683655,17.505266136385075,1.36,0.34043239957661314,127.12200000000001,183.53799999999998
11,3.39939845526666,17.52601628572327,1.3800000000000001,0.3307196529065929,127.177,189.50900000000001
11,3.362938975697174,17.500654992087696,1.4000000000000001,0.3437974869263579,127.241,191.359
11,3.3715010322675303,17.51826117940495,1.42,0.3409605851961308,127.292,188.00599999999997
11,3.353894844950273,17.491432703492944,1.44,0.34638915961895184,126.794,189.30700000000002
11,3.3516416721686,17.50495174018298,1.46,0.352096498674296,127.632,188.606
11,3.364542396327852,17.55347355403947,1.48,0.35451106150637707,126.90799999999999,193.204
11,3.3549218725437804,17.51888997180914,1.5,0.3171408809381583,127.137,190.415
11,3.3818027478228063,17.562800641368252,1.52,0.3451357667599375,127.435,188.578
11,3.3657161421490027,17.574328502111694,1.54,0.3364448077467225,127.949,188.125
11,3.35184078976326,17.54875761100806,1.56,0.3309135305645508,126.969,190.775
11,3.3556973831756114,17.54697603252953,1.58,0.33636725668353923,126.948,189.75799999999998
11,3.3645319164544496,17.565630207187098,1.6,0.34882049024847783,126.947,178.422
11,3.3530459752046196,17.545928045189214,1.62,0.35624548055459493,126.68799999999999,178.49
11,3.4059798157638257,17.57244212489913,1.6400000000000001,0.3726695381519791,127.126,181.658
11,3.3904276836335816,17.548652812274028,1.6600000000000001,0.3566919231615682,126.48200000000001,178.953
11,3.353255572672682,17.53031303381855,1.68,0.3352626780268494,127.346,190.726
11,3.3625931398748703,17.495519854120165,1.7,0.33829869735173596,126.82,187.157
11,3.3579086364636717,17.50327496043848,1.72,0.35387178922878615,127.184,180.576
11,3.3186091112019365,17.481162427557877,1.74,0.33834376080736944,126.44,184.356
11,3.3468104505297576,17.48042883641966,1.76,0.33589775835507907,126.682,189.555
11,3.3432053740790812,17.51302124270339,1.78,0.3006340323408893,126.57600000000001,196.49900000000002
11,3.3143438027268632,17.495205457918065,1.8,0.3269846260257176,126.713,193.114
11,3.340920761677199,17.523501116106516,1.82,0.30905565860764406,126.76,194.232
11,3.2879764412445898,17.507676507267792,1.84,0.34574674337933997,126.285,187.52200000000002
11,3.298938388824263,17.501807778162043,1.86,0.31956382766896174,126.744,191.52599999999998
11,3.2738495718971716,17.48545917565316,1.8800000000000001,0.32366250615692566,126.61399999999999,195.322
